Date/Time,Electricity:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly) 
 01/05  12:00:00,407276403,537875260.7,0,0,12319301.59,0,116543976.5
 01/05  13:00:00,402001771.2,496515706.1,0,0,11087167.95,0,105917221.2
 01/05  14:00:00,399158057.2,468331760.3,0,0,9579529.268,0,108582743.2
 01/05  15:00:00,396168367.1,463135199.5,0,0,8226339.92,0,86960526.03
 01/05  16:00:00,397949808.1,467197577.8,0,0,8328336.432,0,86943080.08
 01/05  17:00:00,567948357.3,703774054.2,0,791201.1281,8328620.318,0,98585798.85
 01/05  18:00:00,700669515.8,698022449.5,0,0,11078988.93,0,510292393.1
 01/05  19:00:00,894462316.9,601570676.4,0,0,14939584.87,0,586698496.1
 01/05  20:00:00,957682051.9,543108202,0,2639826.95,16404858.06,0,581929910.8
 01/05  21:00:00,1020872942,524270631,0,2470782.819,13575628.06,0,548250045.7
 01/05  22:00:00,935721887.9,534683968,0,0,15081342.12,0,591033234.4
 01/05  23:00:00,736795163.9,605547146.8,0,0,12318897.69,0,579806657.5
 01/05  24:00:00,518251961.3,755927715.2,0,0,7021655.046,0,481974025.3
 01/06  01:00:00,360077792.2,707062315,0,198217.7529,5576168.102,0,456558648.6
 01/06  02:00:00,337847956.8,733395866.1,0,0,4169043.873,0,58578007.09
 01/06  03:00:00,321911042.2,763888040,0,0,4310674.521,0,58513211.09
 01/06  04:00:00,326687448.6,822032992.5,0,0,4348591.69,0,58522891.35
 01/06  05:00:00,359218501.2,847224341.5,0,0,5519371.459,0,71300450.88
 01/06  06:00:00,445753371.8,837183286.6,0,0,6844986.525,0,116497313.8
 01/06  07:00:00,780694470.2,758684464.8,0,1288452.827,13761524.58,0,194118555.3
 01/06  08:00:00,889081468.7,970399429.5,0,0,16336215.69,0,260342812.9
 01/06  09:00:00,730552416.8,918101632.5,0,0,15122005.68,0,231852615.9
 01/06  10:00:00,635144567.4,636546352.3,0,0,12318976.83,0,153549789.5
 01/06  11:00:00,402634555.3,726997844,0,0,10947976.89,0,119448301.2
 01/06  12:00:00,409154608.7,761696685.7,0,0,12345481.89,0,116601553.2
 01/06  13:00:00,404446630.8,780898943.7,0,0,10902359.79,0,126700107.9
 01/06  14:00:00,405327589.2,850070729.7,0,0,9750543.217,0,87957961.86
 01/06  15:00:00,403660774.8,856069937.6,0,0,8329014.248,0,86980544.25
 01/06  16:00:00,405647120.2,871921591.6,0,0,8204398.719,0,86934762.2
 01/06  17:00:00,590290088.7,1152196076,0,0,8199354.08,0,98581330.83
 01/06  18:00:00,722150520.5,1204651457,0,0,11077437.51,0,510321769.5
 01/06  19:00:00,918196599.6,1131385795,0,0,15103809.9,0,586797526.7
 01/06  20:00:00,967191734.2,1042304244,0,0,16356474.16,0,582064829.1
 01/06  21:00:00,1029642222,1021581673,0,0,13633767.62,0,548340400.8
 01/06  22:00:00,957893556.8,1007940050,0,0,14939766.07,0,595968420.1
 01/06  23:00:00,758578706.1,1062418429,0,0,12346386.93,0,575320008.9
 01/06  24:00:00,541129980.7,1196237074,0,0,7026990.871,0,482612619.6
 01/07  01:00:00,393762221.5,1131256008,0,0,5521024.319,0,457173361.7
 01/07  02:00:00,392417862.7,1005095581,0,0,4348684.188,0,58577899.36
 01/07  03:00:00,348876846.2,1057954853,0,0,4130776.194,0,58526429.26
 01/07  04:00:00,349281031.3,1094831517,0,0,4348468.823,0,58526393.14
 01/07  05:00:00,375971635.8,1113595865,0,0,5521261.286,0,71303875.27
 01/07  06:00:00,422164018.2,1137739262,0,0,7082670.185,0,113339098.4
 01/07  07:00:00,701344564,1127937051,0,0,10838595.07,0,120667674.2
 01/07  08:00:00,772738951,1368489122,0,0,13712059.91,0,194801782.1
 01/07  09:00:00,834579128.9,1059890719,0,0,13772089.74,0,256735012.1
 01/07  10:00:00,645161872.2,758371953.2,0,0,13629790.08,0,197051938.4
 01/07  11:00:00,424747887.7,784796068,0,0,12345248.67,0,179352319.9
 01/07  12:00:00,413182724.8,759804116.7,0,0,13575618.53,0,123868093.4
 01/07  13:00:00,409364017.4,738407364.2,0,0,13728253.08,0,129486561
 01/07  14:00:00,406699765.6,717901008.4,0,0,12318901.54,0,116406916.4
 01/07  15:00:00,407381427.1,736802500.3,0,0,11088121.78,0,111370942.1
 01/07  16:00:00,409270831.7,818092262.9,0,0,10865893.88,0,92459238.24
 01/07  17:00:00,566727818.4,1198586383,0,0,9677632.595,0,99432811.1
 01/07  18:00:00,701941565.8,1190436996,0,0,11063529.57,0,508851327.6
 01/07  19:00:00,934469273.1,1097627045,0,0,14939545.3,0,543581135.6
 01/07  20:00:00,942823037.1,1066495795,0,0,14948264.75,0,548935963.5
 01/07  21:00:00,968331394,1073014499,0,0,13772012.91,0,564621267.2
 01/07  22:00:00,936860404.6,1091976196,0,0,15105836.93,0,562376813.1
 01/07  23:00:00,777087242.9,1133820756,0,0,10817150.83,0,585686247.8
 01/07  24:00:00,552860767.6,1355666201,0,0,8312621.44,0,513732208
 01/08  01:00:00,421764023,1060745665,0,0,7082364.769,0,458727974.1
 01/08  02:00:00,419803475.6,1070275812,0,0,5519693.942,0,59292700.68
 01/08  03:00:00,377947929.2,1110957379,0,0,5521948.987,0,84323084.76
 01/08  04:00:00,381498529.4,1127448529,0,0,5751358.158,0,58982010.19
 01/08  05:00:00,406750496.8,1140581146,0,0,5519781.97,0,71335346.43
 01/08  06:00:00,454422256.9,1154762950,0,0,8328693.632,0,114408707
 01/08  07:00:00,702886729,1088740613,0,0,13698873.97,0,141418855.3
 01/08  08:00:00,802800904.4,1249994101,0,0,13575673.37,0,206546094.5
 01/08  09:00:00,831929454.7,988661446.9,0,0,13686945.59,0,256959495
 01/08  10:00:00,615834769.5,715611645,0,0,15121708.08,0,197042430.4
 01/08  11:00:00,425501520.1,689453004.4,0,0,13653297.17,0,168696449.1
 01/08  12:00:00,427317828.2,680535061.9,0,0,13575614.51,0,137068486
 01/08  13:00:00,420921398.4,651750290.3,0,0,11052332.63,0,127608553.6
 01/08  14:00:00,389525275.8,683803680.3,0,0,11063705.62,0,88494760.12
 01/08  15:00:00,384996058.7,705397445.2,0,0,8198476.78,0,88757682.69
 01/08  16:00:00,386149781.8,742022878.2,0,0,8219296.962,0,104870784.2
 01/08  17:00:00,546041765.4,1006839422,0,998676.8562,8328437.56,0,105394772.7
 01/08  18:00:00,680287876.6,1007899569,0,0,11087544.09,0,482006018.9
 01/08  19:00:00,891939486.5,911921408.8,0,0,13654128.73,0,542362481.6
 01/08  20:00:00,930455478.9,745370217.5,0,0,13575618.59,0,547422573
 01/08  21:00:00,983927447.2,655881262.9,0,0,11051611.67,0,545374259.5
 01/08  22:00:00,887116288.4,646994521.7,0,0,13772638.76,0,547729478.6
 01/08  23:00:00,724307817.2,704342818.6,0,0,10821074.14,0,585585470.3
 01/08  24:00:00,526882897.9,805878033,0,0,5723603.23,0,512116167
 01/09  01:00:00,361683614.5,698182341.4,0,0,5520415.141,0,458212090.1
 01/09  02:00:00,341489428.4,699772431.1,0,0,4349023.94,0,58589167.67
 01/09  03:00:00,319906280.6,711624386.9,0,0,4130833.403,0,58534500.09
 01/09  04:00:00,319646361.7,713189115.1,0,0,4348512.87,0,58529399.52
 01/09  05:00:00,345916535.1,711857764.9,0,0,5520675.357,0,71315686.99
 01/09  06:00:00,442135881.5,703502179.1,0,2717827.526,7037856.123,0,116488978.8
 01/09  07:00:00,769073022.4,656256457.1,0,3725775.799,13575608.58,0,194371526
 01/09  08:00:00,876206541.9,747017205.8,0,0,16405502.52,0,270526597
 01/09  09:00:00,722738802.9,718447207.9,0,0,14957950.53,0,223056762.5
 01/09  10:00:00,631550680.8,395625368,0,0,12323803.58,0,153845864.9
 01/09  11:00:00,398953755.8,472516141.2,0,0,11082581.9,0,119592039.3
 01/09  12:00:00,406314344.1,403779954.4,0,516129.5231,12319347.76,0,116684077.1
 01/09  13:00:00,405633378,349267773.4,0,1528752.523,11062231.71,0,126995374.9
 01/09  14:00:00,396701586.2,343431296.2,0,0,9495427.554,0,87768073.79
 01/09  15:00:00,394312364,345547627,0,0,8328520.601,0,87100557.19
 01/09  16:00:00,406191516.4,353910961.4,0,2370926.666,8328753.455,0,86974364.27
 01/09  17:00:00,563513787.7,604660470.3,0,3100018.039,8328690.519,0,98625723.51
 01/09  18:00:00,704609215.4,556189562.3,0,2364396.61,10928953.92,0,510281513
 01/09  19:00:00,899196147.5,496519748.7,0,4075843.037,14941683.32,0,588866722.1
 01/09  20:00:00,949525867.2,427056773.3,0,2723960.355,16403113.13,0,580538511.8
 01/09  21:00:00,1011863035,377076590.5,0,2539967.216,13716317.94,0,548497952
 01/09  22:00:00,937444454.6,355175295.6,0,2019822.223,15121989.56,0,623239970.5
 01/09  23:00:00,728972487.9,407167772.9,0,406823.4463,12319038.42,0,550472162
 01/09  24:00:00,509108781.6,471293133.9,0,942643.9989,6837969.743,0,509064373.2
 01/10  01:00:00,347329259.2,498460580.6,0,199854.409,5683028.287,0,432174574.3
 01/10  02:00:00,324294380.4,511127192.9,0,0,4196327.882,0,58842791.11
 01/10  03:00:00,302815262.2,514571166.6,0,0,4348913.669,0,58539080.94
 01/10  04:00:00,305249231.6,509463028.1,0,746947.5352,4130875.036,0,58530164.17
 01/10  05:00:00,344209834.9,507151397.9,0,2749983.794,5675646.384,0,96884505.25
 01/10  06:00:00,430794139.5,516766519.5,0,2844419.78,6920521.203,0,106777226.8
 01/10  07:00:00,764561905.8,485963001.3,0,3922483.621,13755476.82,0,205158579.9
 01/10  08:00:00,883065117.7,439376074.2,0,2375262.846,16356907.84,0,254636225.6
 01/10  09:00:00,725408131.9,374027920.2,0,5096351.327,14992062.02,0,209656145.8
 01/10  10:00:00,640448480.9,173849547.8,0,1888674.478,12344917.82,0,161589489.4
 01/10  11:00:00,405240686.3,195725395.1,0,2406392.065,10861780.67,0,140706641.5
 01/10  12:00:00,423053768.1,202953714.5,0,12219033.69,12319613.76,0,116426140.5
 01/10  13:00:00,432749852.6,222907449.5,0,24360303.41,11086598.92,0,100166795.1
 01/10  14:00:00,429036695.9,231547854.3,0,22236533.57,9644656.973,0,89143999.87
 01/10  15:00:00,417428458.9,243700053.4,0,14356719.48,8198027.137,0,112100993.2
 01/10  16:00:00,401411613.6,254491271.5,0,2334898.288,8296087.598,0,86981718.23
 01/10  17:00:00,589283455,446588391.6,0,31191195.15,8328248.943,0,98642437.6
 01/10  18:00:00,709535274.5,452918848.8,0,11068417.65,11088284.28,0,511012567.7
 01/10  19:00:00,900305385,435622386.5,0,5178951.305,14967403.44,0,587051216.6
