Date/Time,Electricity:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly) 
 01/09  16:00:00,105076949.2,173836168.2,0,0,8245709.985,0,45399176.58
 01/09  17:00:00,123119940,189652420.8,0,0,8227697.159,0,39435583.87
 01/09  18:00:00,130703202.6,190678709.1,0,0,11015456.28,0,51320161.93
 01/09  19:00:00,128945295.6,181423325.3,0,0,15134394,0,77835422.03
 01/09  20:00:00,124941957.1,171688000.3,0,0,16350940.59,0,81171529.52
 01/09  21:00:00,116389862.3,169695208.6,0,0,13706292.85,0,71297537.39
 01/09  22:00:00,111668088.9,189741495,0,0,14950864.25,0,72777520.31
 01/09  23:00:00,75544568.04,208222912.8,0,0,12366407.66,0,63992365.72
 01/09  24:00:00,52551647.2,228533455.3,0,0,6982824.292,0,39222949.12
 01/10  01:00:00,44994685.39,203099544.2,0,0,5525339.847,0,28746749.99
 01/10  02:00:00,23256707.62,0,0,0,373636.1285,0,2577600
 01/10  03:00:00,26139963.8,0,0,0,186759.1676,0,2577600
 01/10  04:00:00,23326544,0,0,0,186749.9105,0,2577600
 01/10  05:00:00,42619780.33,208335623.3,0,0,186721.5052,0,2577600
 01/10  06:00:00,68192732.36,331397923.4,0,0,186743.5791,0,2577600
 01/10  07:00:00,79914816.89,266651356,0,0,4350989.478,0,19501508.69
 01/10  08:00:00,89249773.26,249069601.9,0,0,16355129.63,0,79501135.21
 01/10  09:00:00,94394764.45,227930220,0,0,15088306.24,0,74233788.08
 01/10  10:00:00,100138114,202854189,0,0,12363666.16,0,64250117.63
 01/10  11:00:00,116465820.7,186118933.3,0,0,10835524.19,0,55668712.5
 01/10  12:00:00,129528146.8,160300410.3,0,0,12359782.41,0,63231969.72
 01/10  13:00:00,119190853.8,138282579.9,0,0,11025940.01,0,51763165.07
 01/10  14:00:00,112063738.6,141247574,0,0,9755604.694,0,50278281.04
 01/10  15:00:00,104939372.1,156344025.1,0,0,8246791.482,0,48880456.08
 01/10  16:00:00,105052878.5,175775630.5,0,0,8227520.099,0,39449523.55
 01/10  17:00:00,122514244.4,200782603.2,0,0,8266089.077,0,39453482.37
 01/10  18:00:00,131014878.8,218809435.2,0,0,11093037.72,0,58760243.03
 01/10  19:00:00,129412339.8,237561983,0,0,15094809.15,0,69733763.27
 01/10  20:00:00,125098170.4,254403941.3,0,0,16395065.48,0,81099967.31
 01/10  21:00:00,116641857.1,269916921,0,0,13610989.33,0,76586945.02
 01/10  22:00:00,112035117.9,269859374.2,0,0,14950808.88,0,72025932.13
 01/10  23:00:00,76158945.93,272313230.1,0,0,12366116,0,64256233.26
 01/10  24:00:00,53227185.1,292212767.6,0,0,7051335.453,0,34980229.43
 01/11  01:00:00,45514370.96,254476094.7,0,0,5524950.822,0,32287361.78
 01/11  02:00:00,23247426.67,0,0,0,373592.0933,0,7285770.706
 01/11  03:00:00,26100408.61,0,0,0,186786.8607,0,2577600
 01/11  04:00:00,23294232.32,0,0,0,186775.842,0,2577600
 01/11  05:00:00,37280222.84,152585129.7,0,0,186741.7961,0,2577600
 01/11  06:00:00,65877123.08,357085694.5,0,0,186757.967,0,2577600
 01/11  07:00:00,78996517.73,284848831.6,0,0,4351390.28,0,11017563.1
 01/11  08:00:00,90272075.41,266891138.5,0,0,16355678.93,0,79292476.54
 01/11  09:00:00,96344568.74,257963531.5,0,0,15075748.07,0,78950732.27
 01/11  10:00:00,100504519.6,241028059.2,0,0,12364000.38,0,63742644.49
 01/11  11:00:00,116836448.4,224386619.2,0,0,10836568.7,0,51782647.95
 01/11  12:00:00,129878070.5,195267832.5,0,0,12359722.79,0,63148511.8
 01/11  13:00:00,119418834.5,155533264.5,0,0,11035497.68,0,61729631
 01/11  14:00:00,111991123.4,126875517.1,0,0,9755492.23,0,50189993.62
 01/11  15:00:00,104629179.3,123451726.8,0,0,8236107.736,0,39473894.95
 01/11  16:00:00,104707174.5,139346703.4,0,0,8228009.333,0,39455631.41
 01/11  17:00:00,121985279,157745000.5,0,0,8275418.893,0,48679806.14
 01/11  18:00:00,130462852.4,155511659.7,0,0,11093523.5,0,51524010.41
 01/11  19:00:00,128532633.8,139922738.5,0,0,15088687.18,0,75372774.12
 01/11  20:00:00,124644838.7,136707579.7,0,0,16401180.44,0,83926192.26
 01/11  21:00:00,115976165.1,133145706.6,0,0,13603579.23,0,65991872.68
 01/11  22:00:00,111315361.5,153323833.8,0,0,14951233.74,0,78453689.25
 01/11  23:00:00,75235241.17,175535740.8,0,0,12365486.31,0,63734361.37
 01/11  24:00:00,52312649.9,196525552.3,0,0,7055690.795,0,38735299.79
 01/12  01:00:00,44719524.67,173695679.1,0,0,5524819.66,0,28691659.78
 01/12  02:00:00,23268469.42,0,0,0,373543.0129,0,2577600
 01/12  03:00:00,26131729.04,0,0,0,186780.5181,0,2577600
 01/12  04:00:00,23307534.55,0,0,0,186772.4492,0,2577600
 01/12  05:00:00,37003697.14,112274769.3,0,0,186758.9251,0,2577600
 01/12  06:00:00,65143618.67,276231547.7,0,0,186753.9059,0,2577600
 01/12  07:00:00,78265418.38,206310337.8,0,0,4351386.781,0,19482432.21
 01/12  08:00:00,88838810.52,187877139.9,0,0,16355519.43,0,72074562.22
 01/12  09:00:00,93942854.31,173064124.9,0,0,15070159.2,0,75806154.92
 01/12  10:00:00,100612120,161287403.1,0,0,12363145.81,0,64082630.98
 01/12  11:00:00,116384942.6,164244975.1,0,0,10837665.47,0,61679801.61
 01/12  12:00:00,129429105.8,150426388.6,0,0,12361009.15,0,63236953.84
 01/12  13:00:00,119190064.7,137798621.3,0,0,11037351.26,0,51773254.07
 01/12  14:00:00,112054320.8,136847407.4,0,0,9755729.594,0,50302896.63
 01/12  15:00:00,105361659.3,156275877.4,0,0,8232379.902,0,40972649.79
 01/12  16:00:00,108529104.4,174502503.1,0,0,8228206.339,0,47306630.16
 01/12  17:00:00,123463130.8,186331496.4,0,0,8279499.084,0,39460064.44
 01/12  18:00:00,130785966.3,193521462,0,0,11093882.79,0,51359419.98
 01/12  19:00:00,129175912.4,216977014.5,0,0,15086235.84,0,77926377.02
 01/12  20:00:00,125688782.2,250025326.8,0,0,16404147.53,0,81242313.31
 01/12  21:00:00,117258244,271813669.9,0,0,13599014.07,0,73443083.03
 01/12  22:00:00,112660011.3,291754416.8,0,0,14951519.02,0,71012895.69
 01/12  23:00:00,76492968.8,306549464,0,0,12365698.82,0,64069013.08
 01/12  24:00:00,53642225.96,338398045.7,0,0,7059573.968,0,39258043.53
 01/13  01:00:00,46044204.77,314521380.3,0,0,5525103.727,0,28797016.17
 01/13  02:00:00,23195343.47,0,0,0,373561.7345,0,2577600
 01/13  03:00:00,26034022.73,0,0,0,186734.1993,0,2577600
 01/13  04:00:00,23148001.64,0,0,0,186804.6968,0,2577600
 01/13  05:00:00,40361130.72,210004185,0,0,186752.7051,0,2577600
 01/13  06:00:00,69147169.5,465401648.9,0,0,186750.5491,0,2577600
 01/13  07:00:00,81083429.6,392938880.6,0,0,4351267.119,0,19509460.19
 01/13  08:00:00,90510449.59,375703355.4,0,0,16355858.17,0,79503810.43
 01/13  09:00:00,95625095.27,358821379.7,0,0,15082637.73,0,78990113.55
 01/13  10:00:00,101378312.1,331216732,0,0,12365449.91,0,63738084.44
 01/13  11:00:00,117615377.8,306809320.6,0,0,10834447.93,0,51791371.28
 01/13  12:00:00,130711473.7,283484779.9,0,0,12360479.17,0,63261818.04
 01/13  13:00:00,120363955,258990683,0,0,11031927.13,0,58281202.65
 01/13  14:00:00,113245890.8,265310842.2,0,0,9755696.578,0,48059735.31
 01/13  15:00:00,106123111.1,279157102.6,0,0,8240975.682,0,44953689.28
 01/13  16:00:00,109814377.1,295264298.3,0,0,8228520.341,0,39476584.35
 01/13  17:00:00,124667051.4,314020902.8,0,0,8271152.375,0,43556859.62
 01/13  18:00:00,131972654.4,315289233.1,0,0,11093795,0,56805444.54
 01/13  19:00:00,130192168.3,316896250.3,0,0,15092131.3,0,71985938.44
 01/13  20:00:00,125650624.1,305702335.7,0,0,16398464.38,0,85105611.73
 01/13  21:00:00,116913112.7,295937510.3,0,0,13608137.89,0,68381345.63
 01/13  22:00:00,112274439.7,297816052.1,0,0,14951793.35,0,78528999.79
 01/13  23:00:00,76448624.22,301177525.6,0,0,12366030.81,0,63774222.14
 01/13  24:00:00,53430161.41,311717190.8,0,0,7052826.639,0,38745234.69
 01/14  01:00:00,46663621.15,282748798.9,0,0,5524959.659,0,28695409.65
 01/14  02:00:00,23234543.09,0,0,0,373595.9165,0,2577600
 01/14  03:00:00,26098751.74,0,0,0,186784.5824,0,2577600
 01/14  04:00:00,23285748.15,0,0,0,186775.2847,0,2577600
 01/14  05:00:00,37362869.41,166176954,0,0,186740.0086,0,2577600
 01/14  06:00:00,65715817.68,400047584.2,0,0,186756.6872,0,2577600
 01/14  07:00:00,77591616.86,323803580,0,0,4351457.136,0,19486015.88
 01/14  08:00:00,76285599.99,281422261.7,0,0,4133690.125,0,19492740.39
 01/14  09:00:00,85382325.19,274401873.7,0,0,4351284.169,0,19506806.47
 01/14  10:00:00,102161523.6,271598440.7,0,0,13766189.96,0,64205523.47
 01/14  11:00:00,117542638.7,267424261.8,0,0,12344767.5,0,63726697.52
 01/14  12:00:00,130487384.2,253468055.8,0,0,13605359.76,0,71868193.24
 01/14  13:00:00,121640572,250361748.3,0,0,13603818.46,0,69652819.01
 01/14  14:00:00,114471127.1,239972981.3,0,0,12343937.35,0,63698214.69
 01/14  15:00:00,107403405,237897712.1,0,0,11078532.36,0,51884448.41
 01/14  16:00:00,107393254.7,244396383.2,0,0,11075537.68,0,61527900.22
 01/14  17:00:00,122300474.5,266533070.3,0,0,9496188.124,0,50254161.41
 01/14  18:00:00,131675381.5,287605694.1,0,0,11093912.43,0,51598944.01
 01/14  19:00:00,129964406.7,294183812.6,0,0,15077263.99,0,77835102.28
 01/14  20:00:00,124703719.6,294325844.5,0,0,14949914.31,0,77413055.35
 01/14  21:00:00,117722990.9,318440651.6,0,0,13647510.81,0,67180071.83
 01/14  22:00:00,113249526.5,331078537.3,0,0,15135705.97,0,78560409.8
 01/14  23:00:00,75578250.85,359378053.1,0,0,10993682.43,0,52117421.43
 01/14  24:00:00,55434608.73,402528084.1,0,0,8239405.512,0,49181222.43
 01/15  01:00:00,49140045.88,383220022.7,0,0,7017561.826,0,37660173.46
 01/15  02:00:00,23065729.09,0,0,0,186796.8356,0,3254854.175
 01/15  03:00:00,26088609.7,0,0,0,186788.9159,0,2577600
 01/15  04:00:00,23252625.9,0,0,0,186779.2405,0,2577600
 01/15  05:00:00,37873090.89,219075242.2,0,0,373474.3681,0,2577600
