Date/Time,Electricity:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly)
 01/09  19:00:00,2562498472,1129079565,233987331.2,116066758.1,2365494.905,0,61349008.86
 01/09  20:00:00,2575271252,1090819344,236372842.2,116073372.5,2365213.846,0,61300748.29
 01/09  21:00:00,2564641887,1072260846,236759808.9,116108716.6,2352219.091,0,72910274.26
 01/09  22:00:00,2396327359,1061074382,239880262.1,116077678.2,1288579.75,0,60771785.76
 01/09  23:00:00,2300904017,1059888523,242690966.2,116035575.5,189321.7989,0,60437327.19
 01/09  24:00:00,1948811349,1145486868,242871006,115986281.2,378712.7899,0,35507191.67
 01/10  01:00:00,1907648420,1167596318,239201163,115937977.2,189419.6266,0,72056168.59
 01/10  02:00:00,1901537807,1155513984,238998600.6,115930059.3,189409.5407,0,60433593.4
 01/10  03:00:00,1893315723,1151455962,237505798.7,115946782.6,189397.9249,0,35505488.64
 01/10  04:00:00,1889086984,1154046228,235101499.7,115985233.2,189367.9418,0,72056227.83
 01/10  05:00:00,1901831555,1162595022,234444960.1,116007042.5,378857.3538,0,60434454.03
 01/10  06:00:00,1925616611,1175520339,241519030.5,115959054.5,189409.0187,0,35504979.86
 01/10  07:00:00,1935713700,1374395994,249239912.9,115882019.2,189457.1016,0,60438177.82
 01/10  08:00:00,2659153624,1231691968,248590016.6,115831149.4,2329783.794,0,100675523.7
 01/10  09:00:00,3411515874,1005030751,246295928.5,115893574.6,6929210.894,0,339243618.7
 01/10  10:00:00,3598310791,951037632.9,168677254.8,116494145.1,7934524.901,0,379482050.4
 01/10  11:00:00,3625947949,871165254.6,170733991.9,116812088.8,9518537.504,0,388866447.8
 01/10  12:00:00,3644631720,800520811.1,176890896.1,117005870.7,9938073.798,0,402453204.3
 01/10  13:00:00,3505241969,759474421.3,178686939.5,117138770.3,8514821.178,0,399111410.6
 01/10  14:00:00,3653983166,747628989.9,179813711,117153028,9986436.239,0,402179577.7
 01/10  15:00:00,3661124156,751776050.6,179957795.2,117130197,9304861.168,0,401292603.9
 01/10  16:00:00,3657905740,796228732.9,179352973,117018346.8,9000614.366,0,153894976.3
 01/10  17:00:00,2843185600,1161996495,172128367.2,116663645.5,7645521.203,0,120958638
 01/10  18:00:00,2860278872,1265905596,174470867.5,116290322.4,4944096.156,0,88838699.06
 01/10  19:00:00,2524969814,1052168882,255087152,115745230.6,2364550.021,0,72978672.86
 01/10  20:00:00,2533305072,1022019209,263136251.8,115666400.9,2364889.354,0,61300078.89
 01/10  21:00:00,2533886414,1022992504,267317471.2,115605069.7,2365410.759,0,61290729.13
 01/10  22:00:00,2382215043,1018533439,263750528.2,115638502,1277285.032,0,60780512.37
 01/10  23:00:00,2302153242,1022933562,262721689.2,115672546.5,378603.8102,0,72058792.58
 01/10  24:00:00,1962955440,1101698657,263535361.7,115631251.1,189332.491,0,35510927.47
 01/11  01:00:00,1929254244,1113668940,258812079.7,115647188.9,189406.0895,0,60435313.83
 01/11  02:00:00,1914226865,1124903893,255987909.5,115742579.1,189397.1274,0,60438954.32
 01/11  03:00:00,1897816599,1128742080,252917353.5,115801298.6,189386.7233,0,47123564.18
