Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 04/22  04:00:00,43185945.4,32208.73317,0,57083.01568,6876431.089,6462622.566,0,0,0,,,,,,,,,,,,,,,,,,,
 04/22  05:00:00,43419292.37,125578.1268,0,197060.5905,6876431.089,6462622.566,2626834.427,2626834.427,0,,,,,,,,,,,,,,,,,,,
 04/22  06:00:00,62925543.61,43728484.57,0,5858005.384,6876431.089,6462622.566,700639697,700639697,0,,,,,,,,,,,,,,,,,,,
 04/22  07:00:00,74544232.47,43728484.57,0,4137640.596,13752862.18,12925245.13,521055480.2,521055480.2,0,,,,,,,,,,,,,,,,,,,
 04/22  08:00:00,109658166.8,43728484.57,0,3129020.457,41258586.54,21542075.22,407672009.9,407672009.9,0,,,,,,,,,,,,,,,,,,,
 04/22  09:00:00,162817716,43728484.57,0,2104737.992,82517173.07,34467320.35,270073037,270073037,0,,,,,,,,,,,,,,,,,,,
 04/22  10:00:00,207520631.9,43728484.57,0,1240652.314,123775759.6,38775735.4,166765931.9,166765931.9,0,,,,,,,,,,,,,,,,,,,
 04/22  11:00:00,206546977,43728484.57,0,266997.4575,123775759.6,38775735.4,67243943.56,67243943.56,0,,,,,,,,,,,,,,,,,,,
 04/22  12:00:00,206241329.1,43689834.09,0,0,123775759.6,38775735.4,24683167.92,24683167.92,0,,,,,,,,,,,,,,,,,,,
 04/22  13:00:00,206241329.1,43689834.09,0,0,123775759.6,38775735.4,11042459.15,11042459.15,0,,,,,,,,,,,,,,,,,,,
 04/22  14:00:00,206241329.1,43689834.09,0,0,123775759.6,38775735.4,6553298.684,6553298.684,0,,,,,,,,,,,,,,,,,,,
 04/22  15:00:00,206241329.1,43689834.09,0,0,123775759.6,38775735.4,2137649.518,2137649.518,0,,,,,,,,,,,,,,,,,,,
 04/22  16:00:00,206241329.1,43689834.09,0,0,123775759.6,38775735.4,5199.067125,5199.067125,0,,,,,,,,,,,,,,,,,,,
 04/22  17:00:00,206241329.1,43689834.09,0,0,123775759.6,38775735.4,1474876.008,1474876.008,0,,,,,,,,,,,,,,,,,,,
 04/22  18:00:00,142848489.2,43722042.82,0,203230.2244,68764310.89,30158905.31,50683384.69,50683384.69,0,,,,,,,,,,,,,,,,,,,
 04/22  19:00:00,122289074.7,43728484.57,0,881128.3887,41258586.54,21542075.22,121431001.6,121431001.6,0,,,,,,,,,,,,,,,,,,,
 04/22  20:00:00,137561478.3,43728484.57,0,1274731.987,41258586.54,21542075.22,164480259.4,164480259.4,0,,,,,,,,,,,,,,,,,,,
 04/22  21:00:00,101624981.9,43728484.57,0,1460789.981,13752862.18,12925245.13,200512702.6,200512702.6,0,,,,,,,,,,,,,,,,,,,
 04/22  22:00:00,43096653.66,0,0,0,6876431.089,6462622.566,0,0,0,,,,,,,,,,,,,,,,,,,
 04/22  23:00:00,43096653.66,0,0,0,6876431.089,6462622.566,0,0,0,,,,,,,,,,,,,,,,,,,
 04/22  24:00:00,43096653.66,0,0,0,6876431.089,6462622.566,0,0,0,,,,,,,,,,,,,,,,,,,
 04/23  01:00:00,43096653.66,0,0,0,6876431.089,6462622.566,0,0,0,,,,,,,,,,,,,,,,,,,
 04/23  02:00:00,43096653.66,0,0,0,6876431.089,6462622.566,0,0,0,,,,,,,,,,,,,,,,,,,
 04/23  03:00:00,43096653.66,0,0,0,6876431.089,6462622.566,0,0,0,,,,,,,,,,,,,,,,,,,
 04/23  04:00:00,43096653.66,0,0,0,6876431.089,6462622.566,0,0,0,,,,,,,,,,,,,,,,,,,
 04/23  05:00:00,43096653.66,0,0,0,6876431.089,6462622.566,0,0,0,,,,,,,,,,,,,,,,,,,
 04/23  06:00:00,13339053.66,0,0,0,6876431.089,6462622.566,0,0,0,,,,,,,,,,,,,,,,,,,
 04/23  07:00:00,13339053.66,0,0,0,6876431.089,6462622.566,0,0,0,,,,,,,,,,,,,,,,,,,
 04/23  08:00:00,74155221.17,43728484.57,0,3748629.294,13752862.18,12925245.13,415162581.2,415162581.2,0,,,,,,,,,,,,,,,,,,,
 04/23  09:00:00,73121615.46,43728484.57,0,2715023.58,13752862.18,12925245.13,322340877.3,322340877.3,0,,,,,,,,,,,,,,,,,,,
 04/23  10:00:00,126593432.6,43728484.57,0,2003009.04,55011448.72,25850490.26,268107477.3,268107477.3,0,,,,,,,,,,,,,,,,,,,
 04/23  11:00:00,126127328,43728484.57,0,1536904.445,55011448.72,25850490.26,240362111.8,240362111.8,0,,,,,,,,,,,,,,,,,,,
 04/23  12:00:00,161858738.5,43728484.57,0,1145760.477,82517173.07,34467320.35,171728505.6,171728505.6,0,,,,,,,,,,,,,,,,,,,
