Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 01/04  12:00:00,249982396.2,39614889.66,0,0,177591676.9,32775829.57,233110851.7,233110851.7,0,,,,,,,,,,,,,,,,,,,
 01/04  13:00:00,226652872.4,39659533.32,0,0,157859268.4,29134070.73,219788932.4,219788932.4,0,,,,,,,,,,,,,,,,,,,
 01/04  14:00:00,250027039.8,39659533.32,0,0,177591676.9,32775829.57,202353406.6,202353406.6,0,,,,,,,,,,,,,,,,,,,
 01/04  15:00:00,250027039.8,39659533.32,0,0,177591676.9,32775829.57,202127733.7,202127733.7,0,,,,,,,,,,,,,,,,,,,
 01/04  16:00:00,250027039.8,39659533.32,0,0,177591676.9,32775829.57,213477087.5,213477087.5,0,,,,,,,,,,,,,,,,,,,
 01/04  17:00:00,271442239.8,39659533.32,0,0,177591676.9,32775829.57,240485952.2,240485952.2,0,,,,,,,,,,,,,,,,,,,
 01/04  18:00:00,117725834.4,11838773.43,0,0,59197225.64,14567035.36,224204784.5,224204784.5,0,,,,,,,,,,,,,,,,,,,
 01/04  19:00:00,68229460.59,12732493.21,0,0,19732408.55,3641758.841,256071304.3,256071304.3,0,,,,,,,,,,,,,,,,,,,
 01/04  20:00:00,73324702.04,17827734.65,0,0,19732408.55,3641758.841,379303871.6,379303871.6,0,,,,,,,,,,,,,,,,,,,
 01/04  21:00:00,69999346.06,14502378.67,0,0,19732408.55,3641758.841,329708249.7,329708249.7,0,,,,,,,,,,,,,,,,,,,
 01/04  22:00:00,74172831.3,18675863.91,0,0,19732408.55,3641758.841,417882934.1,417882934.1,0,,,,,,,,,,,,,,,,,,,
 01/04  23:00:00,70771746.91,15274779.52,0,0,19732408.55,3641758.841,370356449.1,370356449.1,0,,,,,,,,,,,,,,,,,,,
 01/04  24:00:00,75586337.37,20089369.98,0,0,19732408.55,3641758.841,482120772.5,482120772.5,0,,,,,,,,,,,,,,,,,,,
 01/05  01:00:00,72051277.26,16554309.87,0,0,19732408.55,3641758.841,435200412.5,435200412.5,0,,,,,,,,,,,,,,,,,,,
 01/05  02:00:00,76600056.88,21103089.49,0,0,19732408.55,3641758.841,527819489.6,527819489.6,0,,,,,,,,,,,,,,,,,,,
 01/05  03:00:00,72359294.59,16862327.2,0,0,19732408.55,3641758.841,452643129.4,452643129.4,0,,,,,,,,,,,,,,,,,,,
 01/05  04:00:00,77189788.29,21692820.91,0,0,19732408.55,3641758.841,560278417.5,560278417.5,0,,,,,,,,,,,,,,,,,,,
 01/05  05:00:00,73798281.32,18301313.94,0,0,19732408.55,3641758.841,534817025.4,534817025.4,0,,,,,,,,,,,,,,,,,,,
 01/05  06:00:00,80191188.32,24694220.93,0,0,19732408.55,3641758.841,702663278.9,702663278.9,0,,,,,,,,,,,,,,,,,,,
 01/05  07:00:00,95964221.32,40467253.93,0,0,19732408.55,3641758.841,890315470.9,890315470.9,0,,,,,,,,,,,,,,,,,,,
 01/05  08:00:00,148313282.3,40467253.93,0,0,78929634.19,18208794.21,834341041.7,834341041.7,0,,,,,,,,,,,,,,,,,,,
 01/05  09:00:00,207728184.5,40467253.93,0,0,138126859.8,29134070.73,748950485,748950485,0,,,,,,,,,,,,,,,,,,,
 01/05  10:00:00,250834760.4,40467253.93,0,0,177591676.9,32775829.57,639378362.3,639378362.3,0,,,,,,,,,,,,,,,,,,,
 01/05  11:00:00,250834760.4,40467253.93,0,0,177591676.9,32775829.57,523639370.7,523639370.7,0,,,,,,,,,,,,,,,,,,,
 01/05  12:00:00,250834760.4,40467253.93,0,0,177591676.9,32775829.57,421400819.1,421400819.1,0,,,,,,,,,,,,,,,,,,,
