Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 10/03  11:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,65546197.67,65546197.67,0,,,,,,,,,,,,,,,,,,,
 10/03  12:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,11728584.08,11728584.08,0,,,,,,,,,,,,,,,,,,,
 10/03  13:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,0,0,0,,,,,,,,,,,,,,,,,,,
 10/03  14:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,0,0,0,,,,,,,,,,,,,,,,,,,
 10/03  15:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,0,0,0,,,,,,,,,,,,,,,,,,,
 10/03  16:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,0,0,0,,,,,,,,,,,,,,,,,,,
 10/03  17:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,0,0,0,,,,,,,,,,,,,,,,,,,
 10/03  18:00:00,160514099.2,28252739.55,0,0,78810856.57,25886503.07,1263574.912,1263574.912,0,,,,,,,,,,,,,,,,,,,
 10/03  19:00:00,174296099.2,28252739.55,0,0,78810856.57,25886503.07,18741132.69,18741132.69,0,,,,,,,,,,,,,,,,,,,
 10/03  20:00:00,157925143.5,28252739.55,0,0,65675713.81,22650690.18,37702262,37702262,0,,,,,,,,,,,,,,,,,,,
 10/03  21:00:00,80559537.06,0,0,0,26270285.52,12943251.53,0,0,0,,,,,,,,,,,,,,,,,,,
 10/03  22:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 10/03  23:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 10/03  24:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 10/04  01:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 10/04  02:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 10/04  03:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 10/04  04:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 10/04  05:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 10/04  06:00:00,75746936.7,28252739.55,0,0,6567571.381,6471625.766,321429237.2,321429237.2,0,,,,,,,,,,,,,,,,,,,
 10/04  07:00:00,67466276.61,28252739.55,0,0,26270285.52,12943251.53,225653162.5,225653162.5,0,,,,,,,,,,,,,,,,,,,
