FullServiceRest,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),hospital,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),LargeHotel,Cooling:Electricity [J](Hourly),Gas:Facility [J](Hourly),LargeOffice,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),MediumOffice,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),MitriseAppartment,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),OutPatient,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),PrimarySchool,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),QuickServiceRest,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),SecondSchool,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),SmallHotel,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),SmallOffice,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),Stand-aloneRetail,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),StripMall,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),SuperMarket,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),WareHouse,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly)
277583316.8,0,277583316.8,2861402623,914200492.6,1947202131,3080220187,625167858.9,2455052328,2044081795,0,2044081795,34420288.3,0,34420288.3,363810713.1,0,363810713.1,236700095.2,31342251.19,205357844,337739306.9,0,337739306.9,132749955,0,132749955,903856965.2,0,903856965.2,131209949.9,1591357.476,129618592.4,24245537.45,1194.832793,24244342.61,0,0,0,0,0,0,1611108218,0,1611108218,606885836.6,0,606885836.6
292848581.7,0,292848581.7,2922010608,884743316.6,2037267292,3582527437,597023769,2985503668,2961508009,0,2961508009,44205171.41,0,44205171.41,380563176.8,0,380563176.8,193379546.3,21348706.97,172030839.3,489702839.8,0,489702839.8,139757661.5,0,139757661.5,1252988063,0,1252988063,135227821.5,180314.7059,135047506.8,23280778.68,0,23280778.68,49952255.73,0,49952255.73,20739323.31,0,20739323.31,58244839.25,0,58244839.25,743897872.4,0,743897872.4
297494406.1,0,297494406.1,2901680249,840224573.3,2061455675,2716283901,377672591.5,2338611310,2160162052,0,2160162052,35217025.8,0,35217025.8,400805914.6,0,400805914.6,244115093.3,22532278.83,221582814.5,361558573.3,0,361558573.3,150978523.7,0,150978523.7,887046374.3,0,887046374.3,143075289,48222.49935,143027066.5,21187716.45,0,21187716.45,70972521.66,0,70972521.66,82807900.01,0,82807900.01,279687360.7,0,279687360.7,629748531.5,0,629748531.5
357762141.2,0,357762141.2,2855809225,692842322.2,2162966903,1308282614,230477196.4,1077805418,3164967743,0,3164967743,48262839.69,0,48262839.69,441191115.9,0,441191115.9,197499602.6,17258130.31,180241472.3,579487127.1,0,579487127.1,197139260.3,0,197139260.3,1327272797,0,1327272797,158446460.9,376.3334418,158446084.6,26221149.69,0,26221149.69,122247436.5,0,122247436.5,133692733.5,0,133692733.5,438509611.9,0,438509611.9,835221395.9,0,835221395.9
0,0,0,2856963618,672583118.9,2184380499,969895212.7,159783923.2,810111289.4,2286486853,0,2286486853,40082485.66,0,40082485.66,454309880.2,0,454309880.2,250070060.2,21579935.84,228490124.4,422653472.9,0,422653472.9,0,0,0,967780680.2,0,967780680.2,162688541.8,0,162688541.8,28044880.99,0,28044880.99,146489355.1,0,146489355.1,143196242.9,0,143196242.9,370992586.1,0,370992586.1,718113291.2,0,718113291.2
0,0,0,2862387122,678500864.1,2183886258,834248172.2,130372171.3,703876000.9,3162793551,0,3162793551,50705342.4,0,50705342.4,456017694.5,0,456017694.5,202421011.5,17614194.94,184806816.6,589711374.4,0,589711374.4,0,0,0,1314003683,0,1314003683,164139664.7,0,164139664.7,26463918.66,0,26463918.66,157312049.3,0,157312049.3,170618375.1,0,170618375.1,517815074.2,0,517815074.2,855540717.3,0,855540717.3
0,0,0,2865688823,686436253.9,2179252569,801158727.1,116966594.9,684192132.2,2196551128,0,2196551128,39903587.48,0,39903587.48,457554080.2,0,457554080.2,255130222.3,21725712.41,233404509.9,398970895.7,0,398970895.7,0,0,0,962051470.9,0,962051470.9,164897559.7,0,164897559.7,27663458.75,0,27663458.75,173744925.8,0,173744925.8,167985758.3,0,167985758.3,549168424.8,0,549168424.8,712951456.7,0,712951456.7
0,0,0,2787007383,829249916.3,1957757467,911863792.9,137543470,774320322.9,2917058502,0,2917058502,48722603.8,0,48722603.8,433200037.8,0,433200037.8,290511459.5,21820113.29,268691346.2,518043384.2,0,518043384.2,0,0,0,1234487686,0,1234487686,155874707.3,0,155874707.3,24117476.75,0,24117476.75,196734382.4,0,196734382.4,216835768,0,216835768,382770327.6,0,382770327.6,793143819.2,0,793143819.2
338236929.3,77539.73706,338159389.6,3949977259,900626650.5,3049350609,1413880681,217379459.4,1196501221,1903792922,0,1903792922,35009444.34,0,35009444.34,412270883.1,0,412270883.1,443582841.6,24747966.74,418834874.9,330914264.2,0,330914264.2,188561026.2,0,188561026.2,829833777.3,0,829833777.3,147135809.8,0,147135809.8,19658210.92,0,19658210.92,239610829.6,0,239610829.6,227880345.2,0,227880345.2,492260129.9,0,492260129.9,618060922.8,0,618060922.8
306005461.4,53999.31795,305951462,3066930260,988605423.6,2078324836,2356749654,463791352.2,1892958302,10894128489,0,10894128489,10200051.88,0,10200051.88,392843379,0,392843379,491945223.9,31852719.79,460092504.1,2679429895,17224.52144,2679412670,154539675.8,0,154539675.8,9589787061,0,9589787061,139226521.6,3879.203365,139222642.4,119628152.1,0,119628152.1,1001432590,0,1001432590,1017111708,0,1017111708,1787092170,0,1787092170,832999622.3,0,832999622.3
270480011,67775.99924,270412235,2861700564,1026815634,1834884930,3583036181,660805521.5,2922230660,8560322143,0,8560322143,160174876.5,0,160174876.5,392050668.7,0,392050668.7,474054848,33905640.35,440149207.6,1456196914,4764.610222,1456192149,135587449.6,0,135587449.6,7236946957,0,7236946957,127153644.1,120260.8931,127033383.2,100421336.5,0,100421336.5,789004972.2,0,789004972.2,814297019.4,0,814297019.4,1546184963,0,1546184963,709753192.1,0,709753192.1
261123620.2,0,261123620.2,2795523679,1067997044,1727526635,3219379284,461549612.8,2757829671,7106625636,0,7106625636,131882866.6,0,131882866.6,395132004.8,0,395132004.8,464348332.1,32165175.16,432183157,1021835674,20580.18887,1021815093,135766731.4,0,135766731.4,5514111618,7150.771488,5514104467,97693307.1,1038007.237,96655299.87,59870094.85,0,59870094.85,717329441.8,0,717329441.8,737169539.1,0,737169539.1,1347030187,0,1347030187,635218490.1,0,635218490.1
254816579.7,0,254816579.7,2756594683,1127403606,1629191077,2944539794,376459905.9,2568079888,5763045323,0,5763045323,111312760.6,0,111312760.6,380169430.4,0,380169430.4,461871272.7,30682495.5,431188777.2,936826732.5,9502.402776,936817230.1,132123467,0,132123467,5292225888,6918.87172,5292218970,97405762.15,8016564.786,89389197.36,44617169.5,0,44617169.5,625377024.6,0,625377024.6,637004254,0,637004254,1132152962,0,1132152962,557553191.6,0,557553191.6
